,ID,Objetivos,Estrategias,LARs,LAR,Acciones Potenciales,Categoria,Temas_G5,G5,Temas,Agenda,Nombre,Tipo G,Tipo,Proyecto Actividad,Responsable,Prioridad,Trimestre,Status,Ejecución,Comentarios Áreas,regulador G5,Tipo Coadyuvancia,Comentarios_x,Is Equal Proy,Is Equal Score,Coment Total,comentario_sd,Comentarios de los Comisionados,Prioridades,respuesta del área,Sugerencias CGPE,Respuesta área,valor JJ,esfuerzo JJ,comentario JJ,Oficina 1,valor RC,esfuerzo RC,comentario RC,Oficina 2,valor AR,esfuerzo AR,comentario AR,Oficina 3,average_score (Preliminar),valoración_RC2,esfuerzo_RC2,comentario_RC2,Score_RC2,valoración_JJ2,esfuerzo_JJ2,comentario_JJ2,Score_JJ2,valoración_SD2,esfuerzo_SD2,comentario_SD2,Score_SD2,valoración_AR2,esfuerzo_AR2,Average_score_round,Score_AR2,Comenatarios Comisionados 10.10.21,Comentarios reconsideración 20.10.21,Prioritarios,Puntuación Final,Detalle_deadline,Meta 2022,PAT 2022,¿Proviene de PAT 2021?,¿Ha sido concluido el proyecto o actividad?,"Mes y año tentativo de terminación del proyecto o actividad 
(mm/aa)",Nombre completo del responsable del proyecto,Porcentaje de avance al momento de atención a este reporte (0-100%),Comentarios_y
29,30,Objetivo 1 (Infraestructura),Estrategia 1.3,LAR 1.3.3: Evaluar medidas que optimicen la puesta a disposición de espectro para fines distintos al comercial,LAR 1.3.3," Incluir espectro radioeléctrico para uso social y público en los Programas Anuales de Uso y Aprovechamiento de Bandas de Frecuencias con base en la disponibilidad espectral y viabilidad técnica, de manera consistente con la Línea de Acción 1.1.4 de los referidos elementos",Regulación,Infraestructura Digital,,Infraestructura Digital,,Programa Anual de Uso y Aprovechamiento de Bandas de Frecuencias 2023*,Programa,Actividad,Actividad,UER,2022,IV,,2022,Esta acción ya se lleva a cabo en la emisión de los PABFs de cada año.,,Individual,"-Me pregunto si este tipo de actividades continuas deberían ser parte de este ejercicio. Vamos a tener por ejemplo ""atender las solicitudes de concesiones""? (es duda, aún no lo he leído) [JJ] 

 -Se considera Alto Impacto por ser de fecha de ejecución Continua. [RC]",,,"-Me pregunto si este tipo de actividades continuas deberían ser parte de este ejercicio. Vamos a tener por ejemplo ""atender las solicitudes de concesiones""? (es duda, aún no lo he leído) [JJ] 

 -Se considera Alto Impacto por ser de fecha de ejecución Continua. [RC]",Actividad continua/recurrente  [SD],"-Me pregunto si este tipo de actividades continuas deberían ser parte de este ejercicio. Vamos a tener por ejemplo ""atender las solicitudes de concesiones""? (es duda, aún no lo he leído) [JJ] 

 -Se considera Alto Impacto por ser de fecha de ejecución Continua. [RC] 

 Actividad continua/recurrente  [SD]",Implementar,"Consideramos que la relevancia está en tener presente, en la elaboración de todos los PABFs, la importancia de las concesiones de uso social comunitario e indígena.
Dentro de las medidas que se han considerado oportunas con los Gobiernos Estatales, está la de proponer coberturas estatales, en lugar de múltiples concesiones locales. Ello beneficia tanto a la administración de las concesiones como al uso eficiente del espectro.
En virtud de lo anterior se le da el carácter de ""Actividad"" en el portafolio de la HR. 
",,,M,M,"Me pregunto si este tipo de actividades continuas deberían ser parte de este ejercicio. Vamos a tener por ejemplo ""atender las solicitudes de concesiones""? (es duda, aún no lo he leído) [JJ]",50.0,A,A,Se considera Alto Impacto por ser de fecha de ejecución Continua. [RC],100.0,M,A,,65.0,72.0,A,A,,100.0,M,M,,50.0,A,M,,85.0,M,A,,65,,,1.0,75.0,2022-IV,100.0,Sí,Sí,,,,,
30,31,Objetivo 1 (Infraestructura),Estrategia 1.3,"LAR 1.3.4: Revisar los esquemas actuales de cobros por el uso, aprovechamiento y explotación del espectro radioeléctrico, en colaboración con las instituciones gubernamentales correspondientes",LAR 1.3.4,Desarrollar un enfoque apropiado de los precios de espectro en México y que se encuentren a un nivel en el que dichas tarifas fueran equiparables con los niveles de referencia internacional.,Regulación,Infraestructura Digital,,Infraestructura Digital,,Estudio en seguimiento al realizado en el 2018 (AETHA) sobre valuación del espectro.,Estudio,Estudio,Actividad,UER,2022,,,2022,"Se cuenta con el Estudio 2018 (AETHA), cuays referencias internacionales  se están actualizando continuamente, siguiendo la misma metodología",,Individual,,,,El costo del espectro parece un foco rojo que debe atenderse a la mayor brevedad. [JJ],¿Qué se pidió que se valorara en este estudio? [SD],"El costo del espectro parece un foco rojo que debe atenderse a la mayor brevedad. [JJ] 

 ¿Qué se pidió que se valorara en este estudio? [SD]",En análisis,"Coincidimos en la relevancia del costo del espectro. El tema se lleva de forma recurrente con la SHCP, ofreciendo insumos y argumentos para buscar que los costos bajen.
En el estudio de Aetha se consideraron las principales bandas IMT, tanto las asignadas en México, como las previstas para asignaciones en el futuro cercano (bandas 5G). El estudio sirvió de base para presentar las propuestas de modificación a la LFD, y los resultados de ese estudio se han actualizado año con año, reflejando los resultados de nuevas licitaciones en el mundo.
Un estudio de seguimiento nos permitiría obtener mayor información detallada de asignaciones de espectro en países relevantes (principalmente de bandas que se vayan a utilizar para 5G y que no fueron comprendidas en el Estudio de 2018); contar con información detallada cuando existan factores adicionales de asignación, esto es mas allá del económico (como obligaciones de cobertura/inversión/despliegue, entre otros), así como, en su caso, recabar información de mecanismos de asignación alternativos y ver como podrían ser comparables con los esquemas donde predominan las ofertas económicas.
 ",,,A,A,El costo del espectro parece un foco rojo que debe atenderse a la mayor brevedad. [JJ],100.0,M,B,,35.0,B,A,,30.0,55.0,M,B,,35.0,A,A,,100.0,A,A,,100.0,B,A,,30,,,1.0,66.0,,,,,Sí,,Carlos Juan de Dios Sánchez Bretón,100.00%,"Se valora si se sustituye por un proceso de actualización
DGEERO: Debido a que derivado del Estudio de AETHA el Congreso de la Unión no ha modificado los derechos por uso del espectro, las condiciones de sobrevaluación de bandas de frecuencias IMT prevalece, lo que hace inecesario la contratación de un nuevo Estudio, ya que el diagnóstico y las recomendaciones de reducir el precio del espectro a niveles similares a comparativos internacionales prevalece.
No obstante lo anterior, la metodología desarrollada por AETHA para hacer comparativos internacionales (benchmark) con ajustes por ingreso percapita y poder adquisitivo de las monedas se ha adoptado como la metodología de valuación del espectro de la Dirección General de Economía del Espectro y Recursos Orbitales. En este sentido, se ha establecido un proceso de recopilación y análisis de las ultimas licitaciones que se llevan a cabo en el mundo, y su inclusión en este modelo para incorporarlo a los benchmark del área con los cuales se realiza la valuación particular del espectro."
31,32,Objetivo 1 (Infraestructura),Estrategia 1.1,"LAR 1.1.3: Favorecer las inversiones en redes e infraestructura de entidades relevantes del ecosistema digital que permitan el desarrollo de nuevos servicios, aplicaciones y modelos de negocio",LAR 1.1.3," Realizar un análisis costo-beneficio de las potenciales iniciativas identificadas para favorecer las inversiones en redes e infraestructura de entidades relevantes del ecosistema digital que permita el desarrollo de nuevos servicios, aplicaciones y modelos de negocio, así como diseñar y ejecutar un plan de acción de aquellas que resulten más adecuadas.",Estudios y análisis,Otros temas G5,Otros temas G5,Infraestructura Digital,,Análisis de las iniciativas públicas y privadas para proveer servicios de telecomunicaciones y radiodifusión en zonas rurales y/o marginadas,Estudio,Estudio,Actividad,CES,2023,,,2022,Análisis de las iniciativas públicas y privadas para proveer servicios de telecomunicaciones y radiodifusión en zonas rurales y/o marginadas,Sí,Individual,,,,Es fundamental identificare esas iniciativas y analizarlas. Es la base para no dejar a nadie atrás. [JJ],¿CUÁL ES EL ENTREGABLE DE ESTE PROYECTO? [SD],"Es fundamental identificar esas iniciativas y analizarlas. Es la base para no dejar a nadie atrás. [JJ] 

 ¿CUÁL ES EL ENTREGABLE DE ESTE PROYECTO? [SD]",Implementar,"El entregable del proyecto es un estudio.
Objetivo: Evaluar lo que se ha realizado en México y a nivel internacional para llevar los servicios de telecomunicaciones y radiodifusión a zonas rurales y/o marginadas.
Beneficio esperado: Contar con información para diseñar posibles acciones dentro del IFT que coadyuven en la implementación de mecanismos que fomente la realización de iniciativas que busquen atender las zonas rurales y marginadas.",Timing CES (2022),De acuerdo se pasa a 2022 y el ID 163 se mueve a 2023,A,A,Es fundamental identificare esas iniciativas y analizarlas. Es la base para no dejar a nadie atrás. [JJ],100.0,M,B,,35.0,M,A,,65.0,67.0,M,B,,35.0,A,A,,100.0,A,M,,85.0,M,A,,65,,,1.0,71.0,,,,,No,jul-22,Sayuri Adriana Koike Quintanar,40.00%,
32,33,Objetivo 2 (Competencia),Estrategia 2.1,"LAR 2.1.1: Monitorear y estudiar las implicaciones desde un punto de vista de competencia económica de los nuevos modelos de negocio del ecosistema digital, considerando los mercados digitales en los que el Instituto sea la autoridad competente para resolver.",LAR 2.1.1,Analizar las potenciales implicaciones que pueden tener estos modelos de negocio en materia de competencia económica dentro del ecosistema digital.,Estudios y análisis,Otros temas G5,,Competencia en el Ecosistema Digital,,Revisión de actualización de las políticas de competencia a nivel internacional para considerar el entorno digital y la presencia de las llamadas “big tech firms” para adopción en México,Estudio,Estudio,Actividad,CES,2025,,nuevo,2023,Usos y recomendaciones para  la banda de 6GHz,No,Individual,,,,"¿Cómo lo de 6GHz se alinea con licitaciones? Este estudio llega tarde, la UER tiene en consulta pública la posible definición de la banda de 6GHz. Si a eso le agregamos que se plantea para el 2023 parece irrelevante. [JJ]

(Se decide en 2021, pierde sentido) [ARR]","En 2021 se determinará el uso de la banda

¿Cuál es la diferencia con el 24? [SD]","¿Cómo lo de 6GHz se alinea con licitaciones? Este estudio llega tarde, la UER tiene en consulta pública la posible definición de la banda de 6GHz. Si a eso le agregamos que se plantea para el 2023 parece irrelevante. [JJ]

(Se decide en 2021, pierde sentido) [ARR] 

 En 2021 se determinará el uso de la banda

¿Cuál es la diferencia con el 24? [SD]",En análisis,"Es verdad que [el estudio ""Documento de usos y recomendaciones para  la banda de 6GHz""] llega tarde, está en consulta en México y este año cerró la consulta en varios países. Se propone sustituir por un estudio de relevancia actual que seguirá siendo discutido en los próximos años: Revisión de actualización de las políticas de competencia a nivel internacional para considerar el entorno digital y la presencia de las llamadas “big tech firms” para adopción en México. ",,,,,,,,,,,,,,,,B,B,"El nuevo tema propuesto es muy dinámico y sería de mayor utilidad que se revise el estado reciente del debate internacional para que el Instituto pueda participar en este debate. Se sugiere adelantar fecha, con lo que incrementaría la jerarquía a ""A"". [RC]",0.0,M,M,El tema es relevante pero aún hay poca certeza de lo que podremos hacer (ver el último precedente de conclicto competencial). Aúnque tratándose de regulación creo que si le correspondería al IFT. [JJ],50.0,M,B,,35.0,A,A,,100,"El nuevo tema propuesto es muy dinámico y sería de mayor utilidad que se revise el estado reciente del debate internacional para que el Instituto pueda participar en este debate. Se sugiere adelantar fecha, con lo que incrementaría la jerarquía a ""A"". [RC]

El tema es relevante pero aún hay poca certeza de lo que podremos hacer (ver el último precedente de conclicto competencial). Aúnque tratándose de regulación creo que si le correspondería al IFT. [JJ]",El alcance podría ir más allá de la competencia e incluir aspectos regulatorios (si los hubiera). [JJ],1.0,76.0,,,,,,,,,
33,34,Objetivo 1 (Infraestructura),Estrategia 1.3,"LAR 1.3.6: Reforzar las acciones de supervisión, verificación y vigilancia del uso del espectro radioeléctrico",LAR 1.3.6,"Identificar potenciales áreas de mejora, en colaboración con los concesionarios o autorizados del espectro radioeléctrico, en las acciones llevadas a cabo actualmente por el Instituto en materia de vigilancia del espectro radioeléctrico, la comprobación técnica de las emisiones y la investigación de las diversas denuncias de interferencia, conforme a los planes de vigilancia del espectro radioeléctrico y priorizando las zonas de mayor incidencia. ",Supervisión y verificación,Regulación Colaborativa,Regulación Colaborativa,Regulación Colaborativa,,Mesas de trabajo con los concesionarios que presentan denuncias,Grupo de Trabajo,Foros o Comités,Actividad,UC,2026,,,Continuo,"De conformidad con lo previsto en el EO del IFT, la UC a través de la Dirección General Adjunta de Vigilancia del Espectro Radioeléctrico, es la encargada de llevar a cabo las acciones de vigilancia del espectro radioeléctrico, así como la identificación y solución de interferencias perjudiciales, por lo que con base en las atribuciones tanto de la UER como de UC, no se desprende que existan acciones conjuntas entre estas con relación a esta acción potencial. No obstante, conforme a los criterios definidos para el llenado de la presente tabla, se señala en la columna J ""Sí"", considerando con esto que la UC sí participa en la acción respectiva. Adicionalmente interviene la DG VER en este proceso de dos de formas: 1. Cuando inicia el proceso de verificación, con base en los reportes de la DGAVERSRE. 2.En el Marco de las Mesas de Trabajo con los concesionarios que presentan denuncias. ",Sí,Individual,"-La solución y atención a denuncias de interferencias prejudiciales es un tema sin duda relevante. Sin embargo, parece que más que establecer mesas de trabajo con quienes presentan denuncias, debería tenerse un ""protocolo de atención"", una especie de guía de lo que se requiere por el denunciante y en su caso la definición de un contacto técnico para entablar esos diálogos que se requieran. [JJ] 

 -Se considera Alto Impacto por ser de fecha de ejecución Continua. [RC]",,,"-La solución y atención a denuncias de interferencias prejudiciales es un tema sin duda relevante. Sin embargo, parece que más que establecer mesas de trabajo con quienes presentan denuncias, debería tenerse un ""protocolo de atención"", una especie de guía de lo que se requiere por el denunciante y en su caso la definición de un contacto técnico para entablar esos diálogos que se requieran. [JJ] 

 -Se considera Alto Impacto por ser de fecha de ejecución Continua. [RC]",¿Cuál se espera que sea el resultado de estas mesas? [SD],"-La solución y atención a denuncias de interferencias prejudiciales es un tema sin duda relevante. Sin embargo, parece que más que establecer mesas de trabajo con quienes presentan denuncias, debería tenerse un ""protocolo de atención"", una especie de guía de lo que se requiere por el denunciante y en su caso la definición de un contacto técnico para entablar esos diálogos que se requieran. [JJ] 

 -Se considera Alto Impacto por ser de fecha de ejecución Continua. [RC] 

 ¿Cuál se espera que sea el resultado de estas mesas? [SD]",Implementar,"Se trata de un elemento fundamental que efectivamente tiene que considerar un ""protocolo de atención"", una guía de lo que se requiere por el denunciante y en su caso la definición de un contacto técnico para entablar esos diálogos que se requieran.
En virtud de lo anterior, el entregable será un protocolo de atención de denuncias y mecánica de atención. ",,,A,A,"La solución y atención a denuncias de interferencias prejudiciales es un tema sin duda relevante. Sin embargo, parece que más que establecer mesas de trabajo con quienes presentan denuncias, debería tenerse un ""protocolo de atención"", una especie de guía de lo que se requiere por el denunciante y en su caso la definición de un contacto técnico para entablar esos diálogos que se requieran. [JJ]",100.0,A,M,Se considera Alto Impacto por ser de fecha de ejecución Continua. [RC],85.0,A,A,,100.0,95.0,A,M,,85.0,A,A,,100.0,M,M,,50.0,A,A,,100,,,1.0,84.0,,,,,No,dic-22,Miguel Ángel Monroy Rodríguez,0.00%,"Durante el presente ejercicio fiscal, se llevará a cabo un análisis estadístico con el cual podrá determinarse una estrategia específica de coordinación para llevar a cabo las mesas de trabajo con los representantes de los concesionarios de los diversos servicios que hacen uso del espectro radioeléctrico, principalmente de aquellos que recurrentemente han presentado denuncias de interferencias perjudiciales. Con estas mesas de trabajo se espera obtener retroalimentación por parte de los concesionarios, cuyos comentarios y sugerencias, serán analizadas, a fin de identificar aquellas que representen potenciales áreas de mejora, las cuales serán tomadas en cuenta para establecer un protocolo de atención de denuncias de interferencia perjudicial que brinde certeza en el procedimiento de atención de estas. Cabe señalar que si bien se establece una fecha tentativa de termino del proyecto en diciembre de 2022, durante la realización de las mesas de trabajo, se podría determinar que este ejercicio se implemente de forma constante, es decir, periódicamente conforme se presenten o se detecten nuevas áreas de mejora.

Cabe señalar que la Dirección General de Verificación manifestó que, aunque participa en juntas convocadas por la DG-VERSE con empresas, son de caracter informativo. Asimismo la Dirección General de Supervisión señaló que en virtud de que el tipo de denuncias que reciben y toda vez que en la mayoría de sus procedimientos los denunciantes no tienen el carácter de parte, considera que su participación no se encuentra justificada."
34,35,Objetivo 1 (Infraestructura),Estrategia 1.3,"LAR 1.3.6: Reforzar las acciones de supervisión, verificación y vigilancia del uso del espectro radioeléctrico",LAR 1.3.6,"Identificar potenciales áreas de mejora, en colaboración con los concesionarios o autorizados del espectro radioeléctrico, en las acciones llevadas a cabo actualmente por el Instituto en materia de vigilancia del espectro radioeléctrico, la comprobación técnica de las emisiones y la investigación de las diversas denuncias de interferencia, conforme a los planes de vigilancia del espectro radioeléctrico y priorizando las zonas de mayor incidencia. ",Estudios y análisis,Infraestructura Digital,,Infraestructura Digital,,Estudio sobre la efectividad de la métrica económica de la MIIDE. Un enfoque ex post de su aplicación.,Estudio,Estudio,Actividad,CES,2025,,,2025,Efectividad de la métrica económica de la MIIDE. Un enfoque es post de su aplicación.,,Individual,"-¿cómo se alinea la efectividad de la métrica económica de la MIIDE con las áreas de oportunidad de la supervisión? [JJ] 

 -Se considera Alto Impacto si la fecha de ejecución se adelanta.   [RC]",,,"-¿cómo se alinea la efectividad de la métrica económica de la MIIDE con las áreas de oportunidad de la supervisión? [JJ] 

 -Se considera Alto Impacto si la fecha de ejecución se adelanta.   [RC]",¿En que consiste exactamente este proyecto? [SD],"-¿cómo se alinea la efectividad de la métrica económica de la MIIDE con las áreas de oportunidad de la supervisión? [JJ] 

 -Se considera Alto Impacto si la fecha de ejecución se adelanta.   [RC] 

 ¿En que consiste exactamente este proyecto? [SD]",En análisis,"A la MIIDE actualmente le falta la métrica económica para que sea una métrica integral. Ésta se investigará durante el 2ndo semestre del 2021. Si se llégase a implementar, el estudio propone evaluar de manera ex post la efectividad de la métrica económica para el uso eficiente del espectro. Para lo anterior, se considera que es necesario un periodo de tiempo suficientemente largo para poder acumular evidencia, de otra manera no sería posible medir el impacto. Si no se llegáse a implementar, el estudio se concentraría en experiencia internacional.

Si se llega a incorporar esta métrica económica a la MIIDE se tendría que ver con la Unidad de Cumplimiento los siguientes pasos en el tema de la supervisión.","No se responde la pregunta de JJ, respecto a las áreas de oportunidad de supervisión",atendida,B,B,¿cómo se alinea la efectividad de la métrica económica de la MIIDE con las áreas de oportunidad de la supervisión? [JJ],0.0,A,B,Se considera Alto Impacto si la fecha de ejecución se adelanta.   [RC],70.0,B,B,,0.0,23.0,A,B,,70.0,B,B,,0.0,B,B,,0.0,B,B,,0,,,0.0,35.0,,,,,,,,,
35,36,Objetivo 1 (Infraestructura),Estrategia 1.2,"LAR 1.2.3: Colaborar con entidades relevantes, públicas o privadas, incluyendo a las autoridades federales, estatales y municipales, a efectos de fomentar la compartición de la infraestructura existente que permita el despliegue de redes e infraestructura de TyR",LAR 1.2.3,Analizar las condiciones mediante las cuales se pone a disposición la infraestructura de TyR a fin de identificar potenciales barreras o limitaciones para su desarrollo.,Estudios y análisis,Otros temas G5,,Infraestructura Digital,"1. Agenda para la promoción de inversión, nuevos servicios, cobertura y conectividad",Análisis de competencia en infraestructura para servicios de telecomunicaciones fijos* ,Estudio,Estudio,Actividad,UCE,2022,I,,2022,"La UCE elabora actualmente un estudio que puede considerarse dentro de esta acción potencial.
Adicionalmente, colaboraría con la UPR en el desarrollo de cualquier otro análisis del tema. ",No,Coadyuvancia,"-Si ya está en el PAT 2021 entendería que se identificó con prioridad relevante. Ya está en marcha. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 -estudios y análisis. [RC]",,,"-Si ya está en el PAT 2021 entendería que se identificó con prioridad relevante. Ya está en marcha. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 -estudios y análisis. [RC]",PAT 2021 [SD],"-Si ya está en el PAT 2021 entendería que se identificó con prioridad relevante. Ya está en marcha. [JJ] 

 -Se considera Alto Impacto por ser de PAT 2021 -estudios y análisis. [RC] 

 PAT 2021 [SD]",Implementar,Confirmamos que está en marcha y que estamos de acuerdo con los comentarios. ,,,A,A,Si ya está en el PAT 2021 entendería que se identificó con prioridad relevante. Ya está en marcha. [JJ],100.0,A,M,Se considera Alto Impacto por ser de PAT 2021 -estudios y análisis. [RC],85.0,M,M,,50.0,78.0,A,M,,85.0,A,A,,100.0,A,M,,85.0,M,M,,50,,,1.0,80.0,2022-II,,Sí,Sí,,,,,
36,37,Objetivo 1 (Infraestructura),Estrategia 1.2,"LAR 1.2.3: Colaborar con entidades relevantes, públicas o privadas, incluyendo a las autoridades federales, estatales y municipales, a efectos de fomentar la compartición de la infraestructura existente que permita el despliegue de redes e infraestructura de TyR",LAR 1.2.3,Analizar las condiciones mediante las cuales se pone a disposición la infraestructura de TyR a fin de identificar potenciales barreras o limitaciones para su desarrollo.,Estudios y análisis,Infraestructura Digital,,Infraestructura Digital,, Estudio de las condiciones para la prestación del servicio de compartición de infraestructura activa en el sector de telecomunicaciones,Estudio,Estudio,Actividad,UPR,2023,,,2023," 1. Realizar el estudio de las condiciones para la prestación del servicio de compartición de infraestructura activa en el sector de telecomunicaciones 
2. Solicitar opinión a la UCE para identificar potenciales barreras a la competencia y 
3. En su caso, proponer las medidas para remediarlas ",,Coadyuvancia,,,,"¿no lo consideran parte del proyecto ID 63 (Análisis de competencia en infraestructura
para servicios de telecomunicaciones fijos (inscrito en PAT 2021))? Pareciera que debería ser solamente un proyecto conjunto. [JJ]",,"¿no lo consideran parte del proyecto ID 63 (Análisis de competencia en infraestructura
para servicios de telecomunicaciones fijos (inscrito en PAT 2021))? Pareciera que debería ser solamente un proyecto conjunto. [JJ]",En análisis," Se considera que las actividades asociadas a esta LAR ya están previstas en lo expuesta para el ID 21 (Micrositio, Módulo de Obra Civil, Módulo de Trámites), además del acercamiento que ya se ha tenido con diversas autoridades estatales, por lo que no se trataría de un proyecto ","No se responde la pregunta de JJ, en todo caso el ID 63 a cargo de la UCE podría ser un insumo para este estudio.",,A,A,¿no lo consideran parte del proyecto ID 63? Pareciera que debería ser solamente un proyecto conjunto. [JJ],100.0,M,B,,35.0,B,B,,0.0,45.0,M,B,,35.0,A,A,,100.0,A,M,,85.0,B,B,,0,,,0.0,55.0,,,,,,,,,
37,38,Objetivo 1 (Infraestructura),Estrategia 1.3,"LAR 1.3.2: Identificar y analizar esquemas alternativos en la asignación del espectro radioeléctrico de una manera flexible, eficiente, competitiva y no discriminatoria",LAR 1.3.2,Proponer nuevos modelos de asignación de espectro para futuras licitaciones y evaluar su factibilidad desde el punto de vista económico y regulatorio.,Regulación,Regulación Colaborativa,Regulación Colaborativa,Regulación Colaborativa,"1. Agenda para la promoción de inversión, nuevos servicios, cobertura y conectividad","Grupo de trabajo con la Unidad de Espectro Radioeléctrico, la Unidad de Política Regulatoria y el Centro de Estudios para identificar y desarrollar esquemas viables asignación del espectro radioeléctrico y poderlos evaluar para su implementación",Grupo de trabajo,Foros o Comités,Actividad,UER,2022,,,2022,Se propone trabajar con la Unidad de Política Regulatoria y el Centro de Estudios para identificar y desarrollar  esquemas viables y poderlos evaluar para su implementación,Sí,Corresponsabilidad,,,,"En el marco internacional está cobrando fuerza esta idea de asignación a diferentes industrias (automotriz, agrícola, etc.), habría que ver si con el marco que tenemos y las licitaciones esa es una opción necesaria. [JJ]",¿Cuál es ls diferencia con el 14? [SD],"En el marco internacional está cobrando fuerza esta idea de asignación a diferentes industrias (automotriz, agrícola, etc.), habría que ver si con el marco que tenemos y las licitaciones esa es una opción necesaria. [JJ] 

 ¿Cuál es ls diferencia con el 14? [SD]",Implementar,"Para la asignación de concesiones de uso comercial de forma distinta a licitaciones públicas se deberían hacer cambios legales/constitucionales. En ese sentido, en la UER consideramos oportuno revisar mecanismos alternativos a las subastas ascendentes, como esquemas de asignación.  Entre las opciones están el privilegiar obligaciones de cobertura y la posibilidad de compartición de espectro.

La diferencia de este proyecto con el  ID 14, es que este último se refiere a la implementación legal de aquellos mecanismos de asignación alternos que se conocen en el mercado, además de aquellos que encuentre este grupo de trabajo. 

 ",,,M,M,"En el marco internacional está cobrando fuerza esta idea de asignación a diferentes industrias (automotriz, agrícola, etc.), habría que ver si con el marco que tenemos y las licitaciones esa es una opción necesaria. [JJ]",50.0,A,A,,100.0,M,A,,65.0,72.0,A,A,,100.0,M,M,,50.0,M,M,,50.0,M,A,,65,,,1.0,66.0,,,,,No,dic-23,Carlos Juan de Dios Sánchez Bretón,0.00%,"El proyecto de Análisis jurídico de los mecanismos alternativos de asignación de espectro para uso comercial (ID 13) debe constituirse en un insumo para este proyecto, ya que pueden existir muchas alternativas de asignación de espectro, incluso algunas probadas en la experiencia internacional. Sin embargo, debe analizarse primero los límites jurídicos que actualmente se tienen en México para su implementación. Lo anterior a fin de utilizar eficientemente los recursos de las áras involucradas.
En este sentido, se propone que este proyecto se inicie en 2023, tambien considerando que en el año 2022 se tienen una agenda cargada derivada de las licitaciones en marcha y las comprometidas"
38,39,Objetivo 1 (Infraestructura),Estrategia 1.3,"LAR 1.3.2: Identificar y analizar esquemas alternativos en la asignación del espectro radioeléctrico de una manera flexible, eficiente, competitiva y no discriminatoria",LAR 1.3.2,Análisis de obligaciones de cobertura,Estudios y análisis,Infraestructura Digital,,Infraestructura Digital,"1. Agenda para la promoción de inversión, nuevos servicios, cobertura y conectividad",Propuesta de acreditamiento de inversiones para la cobertura social contra el pago de derechos,Licitaciones,Estudio,Actividad,UER,2021,,,2021,"En la Licitacion No. IFT-10 se incluyeron obligaciones de cobertura para localidades sin servicio, con apoyo de la UPR. 
Asimismo, se trabaja con UPR y otras Unidades del Instituto. en la propuesta de acreditamiento de inversiones para la cobertura social contra el pago de derechos",,Coadyuvancia,,,,Al ser un proyecto con impacto en la cobertura debe ser de alta prioridad. Habría que hacer un análisis costo-beneficio cuantitativo para que la SHCP pueda aceptar el esquema. [JJ],Propuesta que se ha impulsado desde 2020 [SD],"Al ser un proyecto con impacto en la cobertura debe ser de alta prioridad. Habría que hacer un análisis costo-beneficio cuantitativo para que la SHCP pueda aceptar el esquema. [JJ] 

 Propuesta que se ha impulsado desde 2020 [SD]",Implementar,Se trabaja con la SHCP en el proyecto. Se han presentado ejercicios a la SHCP sobre los montos que podría implicar esta propuesta. Esta secretaría ha mostrado mucho interés en la propuesta y esperamos que pueda ser incluida en el paquete fiscal 2022. ,,,A,A,Al ser un proyecto con impacto en la cobertura debe ser de alta prioridad. Habría que hacer un análisis costo-beneficio cuantitativo para que la SHCP pueda aceptar el esquema. [JJ],100.0,A,A,,100.0,A,A,,100.0,100.0,A,A,,100.0,A,A,,100.0,A,A,,100.0,A,A,,100,,,1.0,100.0,,,,,Sí,,Carlos Juan de Dios Sánchez Bretón,100.00%,"La propuesta de acreditamiento de derechos contra inversiones para cobertura social del IFT se tiene elaborad0, sin embargo no se ha logrado que SHCP la proponga a la Camara de Diputados.
En este sentido la propuesta podría ser modificada en términos de las negociaciones que se tengan con la SHCP u otras autoridades"
