ID,Nombre,LARs,Proyecto Actividad,Área Responsable,Ejecución,Puntuación,¿Ha sido concluido el proyecto o actividad?,"Mes y año tentativo de terminación del proyecto o actividad 
(mm/aa)",Nombre completo del responsable del proyecto,Porcentaje de avance al momento de atención a este reporte (0-100%),Comentarios
111,La Ciberseguridad como habilitador de la transformación digital en México ,"LAR 3.1.1: Desarrollar y difundir recomendaciones, disposiciones técnicas y/o buenas prácticas en materia de ciberseguridad",Actividad,CES,2021,59,Sí,ago-22,José Luis Cuevas Ruíz,100.00%,
113,Estudio sobre la evolución hacia el bienestar digital en México,"LAR 3.2.1: Realizar un monitoreo y análisis tecnológico continuo para identificar de forma anticipada tecnologías y/o casos de uso emergentes, así como evaluar el rol que puede tomar el Instituto en el fomento de su adopción",Actividad,CES,2021,55,Sí,dic-22,Carolina Cabello Ávila,100.00%,
126,"Analizar estrategias y alternativas para impulsar el desarrollo de actividades de  Investigación, Desarrollo e Innovación (I+D+i) que impulsen el ecosistema digital en México, identificando entidades involucradas, potenciales y actuales colaboración entre las entidades, así como los casos de éxito de emprendimientos con base tecnológica, ide","LAR 3.1.6: Colaborar con las entidades involucradas, tanto públicas como privadas, en la promoción de la investigación en nuevas tecnologías para la innovación y desarrollo de casos de uso dentro del ecosistema digital",Actividad,CES,2022,68,No,ene-23,José Luis Cuevas Ruíz,0.00%,"Estrategias y alternativas para impulsar el desarrollo de actividades de Investigación, Desarrollo e Innovación (I+D+i) que impulsen el ecosistema digital en México."
157,Cuaderno guía para la evaluación ex post de medidas regulatorias establecidas por el Instituto,LAR T.1.5  Asegurar el monitoreo de la eficiencia de las unidades del Instituto y de la consecución de los objetivos y líneas estratégicas a través de métricas operativas.,Actividad,CES,2021,46,Sí,dic-22,Jesús Zurita González,100.00%,
158,Análisis de las acciones emprendidas por las autoridades regulatorias de los sectores de telecomunicaciones y radiodifusión frente al Covid-19,T.1.7 Diseñar e implementar agendas y planes de acción que aseguren de forma permanente la continuidad de los servicios de telecomunicaciones y radiodifusión ,Actividad,CES,2022,38,No,ene-23,Sayuri Adriana Koike Quintanar,5.00%,
181,Métodos de prueba para la comprobación técnica/experimental de las emisiones radioléctricas no ionizantes,"LAR 1.3.5: Valorar mecanismos de coexistencia, mercado secundario, compartición y acceso dinámico de espectro radioeléctrico entre diversos servicios de radiocomunicaciones, en concordancia con el desarrollo tecnológico, las mejores prácticas regulatorias y modelos innovadores de gestión del espectro radioeléctrico",Actividad,CES,2022,68,No,ene-23,María Isabel Reza Meneses,0.00%,Estudio sobre los métodos de prueba para la comprobación técnica/experimental de las emisiones radioeléctricas no ionizantes.
0,(Adopción y uso de las TIC en los establecimientos en México.),CES,2021,,2021,,Sí,dic-22,María Isabel Reza Meneses,100.00%,Adopción y uso de las TIC en los establecimientos en México.
0,Análisis del costo promedio ponderado del capital para telecomunicaciones. ,,,CES,2022,,No,ene-23,Jesús Zurita González,0.00%,*Proyecto que proviene del PAA 2020
179,Investigación sobre los mecanismos para el monitoreo del cumplimiento del principio de neutralidad de la red que resulten aplicables al marco regulatorio nacional.,,,CES,2022,,No,jul-22,María Isabel Reza Meneses,30.00%,Se incluyó al PAA 2022 en sustitución del ID 179 
0,El empaquetamiento de servicios de telecomunicaciones como práctica comercial de los proveedores de servicios: el caso de México.,,,CES,2022,,No,jul-22,Carolina Cabello Ávila,30.00%,"Quedó en el PAA 2022, se incorporó después de la socialización con la CGPE."
0,Revisión de la teoría del daño en el contexto de la Economía Digital: casos relevantes a nivel internacional,,,CES,2022,,No,ene-23,Carolina Cabello Ávila,0.00%,"Quedó en el PAA 2022, se incorporó después de la socialización con la CGPE."
